0.000,12.658,0.005
0.000,58.824,0.000
0.000,14.925,0.000
0.000,41.667,0.000
0.000,13.158,0.000
0.250,8.333,0.000
0.000,166.667,0.000
0.000,21.739,0.000
0.000,35.714,0.000
0.000,19.231,0.000
0.000,20.833,0.000
0.000,19.231,0.000
0.000,19.231,0.000
0.000,19.231,0.000
0.056,4.878,0.000
0.000,23.256,0.000
0.000,15.385,0.000
0.000,27.778,0.000
0.000,14.925,0.000
0.000,28.571,0.000
0.095,3.559,0.000
0.000,41.667,0.000
0.000,12.658,0.000
0.000,41.667,0.000
0.000,13.699,0.000
0.000,47.619,0.000
0.000,13.514,0.000
0.000,8.621,0.000
0.000,13.333,0.000
0.000,1000.000,0.000
0.000,12.195,0.000
---
0.000,15.152,0.000
0.000,66.667,0.000
0.000,14.085,0.000
0.000,45.455,0.000
0.225,3.676,0.000
0.000,12.195,0.000
0.046,0.910,0.000
0.129,10.101,0.000
