1.050,1.240,0.582,-0.889,1.848,1.848,-16.013,-9.897,-9.897,212.501,23.587,199.984,
-0.124,0.112,-0.438,-1.401,0.827,0.827,-25.005,-15.934,-15.934,294.428,32.232,261.265,
-0.081,0.208,-0.435,1.121,-0.852,-0.852,-27.479,-13.623,-13.623,212.861,35.162,261.430,
-0.164,0.169,-0.531,-0.777,0.233,0.233,-25.449,-16.005,-16.005,244.034,40.530,264.373,
0.185,0.163,-0.774,-1.668,-0.655,-0.655,-20.353,-14.717,-14.717,65.016,35.538,259.439,
0.028,0.098,-0.865,-0.446,-0.267,-0.267,-17.631,-11.256,-11.256,48.377,31.172,245.538,
0.104,-0.065,-0.487,-1.425,-0.058,-0.058,-13.308,-17.920,-17.920,43.305,29.931,237.887,
0.111,-0.145,-0.449,-0.104,0.243,0.243,-14.410,-19.889,-19.889,56.926,36.038,231.138,
0.136,-0.129,-0.537,-0.587,-0.286,-0.286,-13.534,-18.174,-18.174,44.904,38.585,229.319,
0.230,-0.128,-0.353,1.120,0.552,0.552,-15.337,-18.584,-18.584,46.859,43.650,219.138,
0.134,-0.063,-0.478,-0.846,-0.279,-0.279,-13.442,-18.281,-18.281,55.206,40.574,225.203,
0.124,-0.155,-0.436,-1.206,-0.286,-0.286,-13.657,-19.129,-19.129,38.320,38.157,228.726,
0.023,0.005,-0.720,-1.392,-0.656,-0.656,-10.295,-18.978,-18.978,61.843,44.224,233.633,
0.107,0.008,-0.515,-0.586,-0.120,-0.120,-9.965,-18.882,-18.882,70.611,46.361,233.530,
0.048,-0.051,-0.643,-1.272,-0.397,-0.397,-8.514,-17.888,-17.888,56.017,45.453,228.159,
0.098,-0.063,-0.495,-0.918,-0.379,-0.379,-9.917,-15.552,-15.552,63.168,27.271,199.402,
0.015,-0.080,-0.643,-0.302,-0.196,-0.196,-12.056,-19.336,-19.336,40.987,49.350,205.767,
0.196,-0.287,0.496,-2.837,-4.120,-4.120,-14.053,-11.499,-11.499,165.562,90.851,210.123,
0.284,0.348,0.391,-3.765,-3.236,-3.236,3.711,-6.600,-6.600,285.040,115.983,149.617,
-0.962,1.234,1.605,-2.569,-3.463,-3.463,-3.013,-11.745,-11.745,186.679,49.752,179.091,
0.345,1.006,1.204,1.937,-3.527,-3.527,-14.175,-13.785,-13.785,222.533,80.296,159.253,
1.221,-0.511,1.533,-1.341,-1.139,-1.139,-22.056,-27.254,-27.254,176.048,109.545,179.649
