1.350,1.366,0.402,2.828,-0.734,-0.734,-21.575,-0.999,-0.999,50.762,248.188,155.807,
0.019,0.129,-0.484,-2.074,1.724,1.724,-23.194,-9.656,-9.656,219.086,326.386,196.906,
-0.130,0.019,-0.146,0.590,-0.360,-0.360,-23.738,-6.189,-6.189,105.764,336.003,193.132,
-0.185,0.034,-0.158,0.532,-0.326,-0.326,-23.961,-7.315,-7.315,140.132,334.349,190.213,
0.037,0.073,-0.475,-1.496,1.246,1.246,-23.821,-6.635,-6.635,87.755,336.753,185.510,
-0.008,-0.066,-0.473,-1.086,1.137,1.137,-23.808,-3.534,-3.534,160.558,344.404,179.394,
0.063,-0.096,-0.504,-1.076,1.522,1.522,-24.987,-4.663,-4.663,66.327,345.093,168.637,
-0.077,0.066,-0.333,-0.397,0.505,0.505,-27.046,-2.287,-2.287,179.440,221.131,165.556,
0.101,0.019,-0.657,-0.247,0.025,0.025,-27.054,-10.142,-10.142,29.658,9.564,162.794,
0.065,0.007,-0.459,0.141,-0.317,-0.317,-26.206,-7.624,-7.624,29.703,6.288,149.270,
0.049,-0.011,-0.615,-1.213,-0.028,-0.028,-23.742,-7.384,-7.384,24.739,6.250,138.108,
0.063,-0.042,-0.527,0.163,-0.210,-0.210,-23.609,-8.564,-8.564,31.775,7.048,127.267,
0.066,-0.058,-0.470,-0.402,-0.001,-0.001,-21.208,-8.451,-8.451,39.014,5.260,115.672,
0.025,-0.049,-0.411,0.013,-0.059,-0.059,-22.814,-7.641,-7.641,46.341,2.950,103.225,
0.035,-0.070,-0.523,0.364,-0.264,-0.264,-21.986,-9.622,-9.622,33.482,2.657,91.230,
0.045,-0.016,-0.576,0.568,-0.191,-0.191,-20.490,-8.900,-8.900,34.179,337.336,75.758,
0.014,-0.072,-0.393,-0.346,0.094,0.094,-20.489,-8.855,-8.855,46.372,354.422,62.042,
0.048,0.021,-0.458,-0.478,-0.094,-0.094,-21.797,-8.003,-8.003,31.697,355.309,55.188,
0.086,-0.021,-0.631,-0.447,0.059,0.059,-23.242,-7.137,-7.137,30.963,357.420,43.701,
0.025,-0.137,-0.453,-1.205,0.185,0.185,-21.370,-8.211,-8.211,17.578,356.795,34.303,
0.018,-0.032,-0.500,-0.901,-0.399,-0.399,-18.446,-7.751,-7.751,29.130,344.856,20.789,
-0.241,-0.035,-0.991,0.300,0.073,0.073,-27.036,-7.520,-7.520,229.175,315.982,323.165,
0.121,0.022,-0.655,-0.338,-0.282,-0.282,-20.735,0.576,0.576,22.373,295.759,279.687,
-0.003,0.076,-0.667,-0.270,0.439,0.439,-28.793,-1.795,-1.795,157.228,269.468,230.925,
0.328,-0.058,-0.770,-0.694,2.079,2.079,-12.175,23.711,23.711,188.736,233.786,172.828
