0.127,2.088,1.186
0.150,2.004,1.161
0.000,3.876,1.850
0.113,1.880,1.097
0.218,2.079,1.219
0.210,1.389,0.940
0.135,1.919,1.122
0.155,1.953,1.143
0.149,0.941,0.736
0.104,0.614,0.587
0.153,1.235,0.855
0.102,0.876,0.691
0.143,1.992,1.154
0.119,1.980,1.140
0.207,1.965,1.169
0.141,2.169,1.224
0.000,3.802,1.821
0.000,3.953,1.881
0.000,3.745,1.798
0.119,1.757,1.050
0.330,2.315,1.358
0.140,1.988,1.151
0.194,1.761,1.082
0.159,1.912,1.128
0.138,2.475,1.345
0.260,1.335,0.938
0.159,2.008,1.167
0.205,1.996,1.181
0.221,1.949,1.168
