1.326,1.109,0.378,1.044,1.152,1.152,0.502,0,
0.123,0.174,-0.748,-0.981,0.080,0.080,0.502,0,
0.503,-0.288,-0.506,0.599,0.063,0.063,0.502,0,
-0.044,0.194,-0.416,0.553,-0.029,-0.029,0.502,0,
-0.025,0.217,-0.273,-0.397,0.609,0.609,0.502,0,
-0.029,0.126,-0.273,-0.195,0.660,0.660,0.502,0,
-0.020,0.073,-0.403,-0.008,0.183,0.183,0.502,0,
-0.081,-0.055,-0.489,0.523,-0.291,-0.291,0.502,1,
-0.104,-0.045,-0.517,0.823,-0.301,-0.301,0.215,1,
-0.051,0.065,-0.419,-1.400,0.761,0.761,0.215,1,
0.795,0.161,-0.857,-0.526,2.082,2.082,0.215,1,
-0.067,0.007,-0.273,0.075,0.203,0.203,0.215,1,
-0.089,-0.054,-0.335,0.053,1.256,1.256,0.215,1,
-0.068,-0.111,-0.444,0.002,1.063,1.063,0.215,1,
0.086,0.016,-0.462,-0.184,-1.424,-1.424,0.215,1,
-0.144,0.055,-0.219,-0.019,0.081,0.081,0.215,0,
-0.158,0.064,-0.240,-0.304,1.108,1.108,0.215,0,
-0.008,0.017,-0.467,-0.150,2.326,2.326,0.215,0,
-0.235,0.021,-0.146,0.047,1.792,1.792,0.215,0,
0.020,-0.093,-0.518,-0.174,2.124,2.124,0.215,1,
-0.187,0.067,-0.152,-0.023,0.008,0.008,0.215,0,
-0.026,-0.010,-0.477,-0.076,-1.830,-1.830,0.215,1,
-0.150,0.109,-0.111,0.493,-0.919,-0.919,0.215,1,
-0.062,0.044,-0.173,-0.432,2.035,2.035,0.215,1,
0.026,-0.049,-0.393,-0.237,2.672,2.672,0.215,0
0.859,1.225,1.114,1.115,0.875,0.875,0.269,0,
-0.266,-0.132,-0.558,0.384,-1.278,-1.278,0.269,1,
-0.061,0.152,-0.179,0.479,0.547,0.547,0.269,0,
-0.214,0.078,-0.259,0.109,1.961,1.961,0.269,0,
0.091,0.379,-0.285,0.345,2.076,2.076,0.269,1,
0.667,-0.654,-0.668,1.579,0.013,0.013,0.269,0,
0.123,0.057,-0.763,1.142,-2.311,-2.311,0.269,0,
0.041,-0.069,-0.391,-0.085,1.577,1.577,0.269,0,
-0.188,0.202,-0.716,-1.186,0.220,0.220,0.269,0,
-0.146,-0.126,-0.337,0.312,-0.318,-0.318,0.269,0,
0.016,0.080,0.419,-1.497,1.048,1.048,0.269,1,
-0.276,-0.200,-0.452,-1.109,1.067,1.067,0.269,1,
0.017,0.028,-0.351,-1.113,0.913,0.913,0.269,1,
-0.214,-0.247,-0.378,0.214,-0.972,-0.972,0.269,1,
0.083,-0.164,-0.891,-0.772,0.498,0.498,0.269,1,
0.007,0.091,-0.487,-0.867,0.923,0.923,0.269,1,
-0.010,0.068,-0.216,0.305,-0.262,-0.262,0.269,1
0.983,1.166,0.988,1.692,0.666,0.666,0.573,0,
-0.070,-0.035,-0.142,-0.092,0.560,0.560,0.573,0,
-0.003,-0.043,-0.297,-1.197,0.674,0.674,0.573,0,
0.126,0.179,-0.464,-2.482,1.492,1.492,0.573,0,
-0.007,0.035,-0.312,-1.686,1.657,1.657,0.573,0,
-0.112,-0.008,-0.112,-0.145,0.921,0.921,0.573,0,
0.027,0.092,-0.594,-2.644,1.380,1.380,0.573,0,
-0.049,0.041,-0.237,-1.190,1.904,1.904,0.573,0,
-0.307,-0.088,0.179,0.002,0.641,0.641,0.573,0,
0.107,0.140,-0.627,-2.628,1.840,1.840,0.573,0,
0.025,0.100,-0.542,-0.622,0.298,0.298,0.573,0,
-0.193,0.125,-0.114,-0.813,1.423,1.423,0.573,0,
-0.263,0.260,-0.395,-2.763,1.279,1.279,0.573,0,
0.128,0.030,-0.705,-1.068,0.066,0.066,0.573,0,
0.098,-0.004,-0.358,-1.450,0.238,0.238,0.573,0,
-0.037,-0.025,-0.298,-1.928,0.249,0.249,0.573,0,
0.075,-0.014,-0.242,-2.108,0.399,0.399,0.573,1,
0.060,-0.090,-0.272,-1.643,0.506,0.506,0.286,1
1.331,1.027,0.300,0.335,0.634,0.634,0.209,1,
0.000,0.120,-0.862,-0.753,-0.079,-0.079,0.209,1,
-0.016,0.053,-0.669,0.644,-0.940,-0.940,0.209,1,
-0.102,0.093,-0.405,-1.283,0.698,0.698,0.209,1,
-0.103,0.059,-0.206,0.199,0.049,0.049,0.209,1,
-0.096,-0.104,-0.219,-0.185,0.243,0.243,0.209,1,
-0.088,-0.001,-0.245,1.210,-0.714,-0.714,0.209,1,
0.004,0.025,-0.216,-0.566,0.140,0.140,0.209,1,
0.007,0.011,-0.365,-0.801,0.576,0.576,0.209,1,
0.058,0.136,-0.532,-0.724,0.801,0.801,0.209,1,
0.098,0.177,-0.679,-1.338,1.085,1.085,0.209,1,
-0.010,-0.031,-0.447,-0.139,0.002,0.002,0.209,1,
-0.124,-0.038,-0.321,-0.280,0.278,0.278,0.209,1,
0.111,0.200,-0.615,-1.595,1.213,1.213,0.209,1,
-0.092,0.029,-0.196,-0.965,1.079,1.079,0.209,1,
-0.021,-0.059,-0.361,-0.465,1.238,1.238,0.209,1,
0.011,0.063,-0.352,-0.207,0.962,0.962,0.209,1,
-0.151,-0.024,-0.199,1.361,-1.165,-1.165,0.209,1,
0.174,0.241,-0.843,-2.768,2.214,2.214,0.209,1,
-0.167,-0.032,-0.219,-0.448,0.309,0.309,0.209,1,
0.081,0.002,-0.385,0.181,-0.097,-0.097,0.209,1,
0.059,-0.046,-0.537,0.880,-0.259,-0.259,0.209,1
1.139,1.213,0.448,0.893,1.060,1.060,0.249,1,
0.018,-0.149,-0.407,-1.081,0.050,0.050,0.249,1,
0.006,-0.153,-0.429,0.234,-0.047,-0.047,0.249,1,
0.017,-0.012,-0.333,-1.342,1.780,1.780,0.249,1,
-0.075,-0.040,-0.280,1.366,-0.486,-0.486,0.249,1,
-0.190,-0.135,-0.277,-0.746,0.497,0.497,0.249,1,
-0.225,-0.269,-0.183,-0.391,0.749,0.749,0.249,-1,
-0.179,-0.155,-0.194,1.155,-0.194,-0.194,0.249,-1,
-0.119,-0.276,-0.153,0.122,0.529,0.529,0.249,-1,
-0.113,0.044,-0.230,-2.458,1.290,1.290,0.249,-1,
-0.231,-0.224,-0.157,-0.334,0.077,0.077,0.249,-1,
-0.162,-0.180,-0.195,-1.325,1.281,1.281,0.249,-1,
-0.246,-0.227,-0.189,0.751,0.087,0.087,0.249,-1,
-0.162,-0.304,-0.191,-0.506,0.708,0.708,0.249,-1,
-0.059,-0.021,-0.260,-1.924,1.085,1.085,0.249,-1,
-0.206,-0.080,-0.107,0.852,-0.777,-0.777,0.249,-1,
-0.137,-0.189,-0.171,-1.184,0.842,0.842,0.249,-1,
-0.194,-0.121,-0.201,0.474,-0.002,-0.002,0.249,-1,
-0.055,-0.130,-0.208,-3.118,1.409,1.409,0.249,-1,
-0.172,-0.275,-0.189,0.033,0.757,0.757,0.249,-1,
-0.094,-0.021,-0.254,1.625,-0.648,-0.648,0.249,-1,
0.185,0.191,-0.414,-1.187,0.996,0.996,0.249,-1,
0.039,0.172,-0.459,1.037,-0.637,-0.637,0.249,-1
1.272,0.917,0.334,1.413,0.742,0.742,0.341,1,
-0.001,-0.081,-0.509,-1.662,1.102,1.102,0.341,1,
-0.081,-0.200,-0.343,-0.411,0.357,0.357,0.341,1,
0.027,-0.024,-0.314,-0.930,0.633,0.633,0.341,1,
0.049,0.006,-0.296,0.841,0.273,0.273,0.341,1,
0.012,-0.041,-0.274,-0.961,0.965,0.965,0.341,1,
-0.019,-0.098,-0.487,0.542,-0.671,-0.671,0.341,1,
-0.070,-0.217,-0.560,0.501,-0.283,-0.283,0.341,1,
0.052,0.254,-0.260,-0.889,0.667,0.667,0.341,1,
-0.042,-0.042,-0.257,0.072,0.241,0.241,0.341,1,
0.021,-0.017,-0.325,-1.840,0.587,0.587,0.341,1,
0.074,0.436,-0.665,-3.079,0.685,0.685,0.341,1,
-0.140,-0.135,-0.320,-0.807,1.138,1.138,0.341,1,
