0.127,10.000,0.582
0.150,9.709,0.000
0.000,43.478,0.000
0.113,9.346,0.000
0.218,10.417,0.000
0.210,5.435,0.000
0.135,11.111,0.000
0.155,9.615,0.000
0.149,5.376,0.000
0.104,3.534,0.000
0.153,7.246,0.000
0.102,3.676,0.000
0.143,10.204,0.000
0.119,8.621,0.000
0.207,11.364,0.000
0.141,9.091,0.000
0.000,27.027,0.000
0.000,13.699,0.000
0.000,47.619,0.000
0.119,7.463,0.000
0.330,12.048,0.000
0.140,9.709,0.000
0.194,11.111,0.000
0.159,10.526,0.000
0.138,8.929,0.000
0.260,6.173,0.000
0.159,11.628,0.000
0.205,8.929,0.000
0.221,10.417,0.000
