-0.022,-0.071,-0.384,0.029,0.219,-0.059,12.492,-17.556,-32.184,94.396,339.933,32.736,0.042,1.217,0.804,0.254,1,1,2,
0.198,0.064,-0.996,0.111,0.016,-0.095,10.788,-6.684,-39.780,133.504,343.156,37.749,0.217,2.217,1.274,0.567,1,1,3,
0.166,-0.045,-0.657,0.187,-0.079,-0.112,14.280,-9.036,-36.252,125.378,352.569,44.086,0.061,0.673,0.594,0.389,1,1,2,
0.158,-0.029,-0.729,-0.094,0.235,-0.137,11.616,-11.544,-34.824,118.640,355.387,48.070,0.036,-0.010,0.311,0.389,1,1,1,
0.167,-0.013,-0.789,0.200,-0.038,-0.037,11.760,-9.432,-36.396,124.171,144.370,52.813,0.031,1.003,0.713,0.389,1,1,2,
0.207,-0.047,-0.841,-0.250,0.260,-0.056,14.808,-10.980,-34.620,124.158,10.404,62.247,0.015,0.799,0.626,0.389,1,1,2,
0.168,-0.049,-0.851,-0.130,0.245,-0.058,13.620,-11.436,-35.208,122.640,16.580,69.475,0.011,0.980,0.697,0.389,1,1,2,
0.146,-0.012,-0.791,0.188,-0.007,-0.041,10.764,-8.916,-36.204,123.891,22.517,74.724,0.011,1.014,0.710,0.389,1,1,2,
0.246,-0.044,-0.903,-0.336,0.217,-0.139,15.360,-8.496,-34.824,127.296,31.529,82.635,0.020,0.814,0.634,0.389,1,1,2,
0.288,-0.032,-0.958,-0.336,0.241,-0.185,14.832,-7.284,-35.592,129.726,40.014,91.914,0.008,0.784,0.617,0.389,1,1,2,
0.230,-0.059,-0.859,0.179,-0.054,-0.024,14.532,-6.480,-36.084,126.841,42.643,95.106,0.004,1.351,0.842,0.389,1,1,3,
0.264,-0.053,-0.898,-0.408,0.281,-0.167,15.120,-8.892,-34.788,124.182,50.394,102.377,0.008,0.806,0.626,0.389,1,1,2,
0.255,-0.058,-0.871,-0.279,0.176,-0.182,15.036,-6.456,-35.244,127.080,54.524,107.283,0.009,0.971,0.692,0.389,1,1,2
0.298,-0.048,-0.927,-0.451,0.226,-0.240,14.520,-7.500,-35.100,123.694,72.149,128.175,0.011,0.812,0.629,0.627,1,1,2,
0.260,-0.112,-0.800,0.271,0.038,0.046,14.268,-4.260,-37.572,118.692,73.402,130.418,0.005,1.314,0.827,0.627,1,1,3,
0.304,-0.057,-0.860,-0.214,0.479,-0.071,15.864,-6.552,-34.872,126.705,79.965,137.626,0.013,0.806,0.628,0.627,1,1,2,
