0.313,0.170,-1.192,-0.035,0.213,-0.163,9.024,-7.560,-34.872,132.578,328.327,23.997,0.003,1.299,0.821,0.288,1,1,2,
0.257,-0.179,-0.992,-0.083,-0.237,0.286,-5.856,-10.404,-36.984,56.008,275.835,325.109,0.014,0.813,0.631,0.288,1,1,2,
0.478,-0.038,-1.109,-1.234,-0.601,0.640,-18.972,-6.480,-33.912,38.121,270.872,310.254,0.012,0.658,0.568,0.288,1,1,2,
0.111,-0.039,-1.319,0.110,-0.568,-0.024,-26.148,2.112,-31.872,75.974,282.508,296.155,0.014,1.353,0.847,0.288,1,1,3,
0.075,-0.023,-1.420,0.128,0.046,-0.241,-25.116,3.768,-35.532,211.991,312.916,306.499,0.040,0.798,0.635,0.288,1,1,2,
0.202,-0.093,-1.183,-0.247,0.063,-0.654,-19.332,10.452,-45.744,354.340,329.790,314.053,0.182,0.998,0.772,0.288,1,1,2,
0.415,0.035,-1.370,0.840,-0.325,-0.255,-20.112,0.924,-48.108,26.845,355.877,339.477,0.041,1.337,0.851,0.288,1,1,3,
0.281,0.072,-1.484,0.048,0.069,-0.167,9.060,-19.200,-42.660,113.301,58.376,39.252,0.095,0.956,0.720,0.288,1,1,2,
0.140,0.054,-1.282,0.165,-0.134,-0.556,12.408,-21.360,-46.356,117.165,83.033,59.718,0.070,1.443,0.905,0.288,1,1,3,
0.213,0.050,-1.417,0.098,-0.764,-0.594,11.448,-12.168,-49.512,118.069,93.171,65.300,0.090,0.989,0.732,0.288,1,1,2,
0.336,0.017,-1.116,0.309,-0.285,0.066,12.420,-8.460,-38.868,120.474,102.246,69.484,0.074,1.339,0.865,0.288,1,1,3,
0.167,-0.005,-1.258,0.190,0.109,0.450,8.628,-18.300,-34.704,113.070,108.352,73.991,0.054,0.972,0.710,0.288,1,1,2,
0.364,-0.074,-1.266,0.440,0.238,0.867,9.960,-10.092,-35.436,109.514,99.669,60.393,0.034,0.816,0.640,0.601,1,1,2,
0.115,-0.135,-0.998,-0.118,0.463,1.431,-0.756,-10.260,-39.888,68.007,73.384,32.495,0.071,1.005,0.730,0.601,1,1,2,
0.172,-0.038,-0.992,0.223,0.169,0.065,-26.988,7.044,-41.316,145.869,20.105,357.423,0.003,0.499,0.501,0.601,1,1,1,
0.197,-0.098,-1.068,0.123,0.256,0.441,-16.872,3.684,-37.356,144.410,5.920,285.609,0.006,1.012,0.707,0.601,1,1,2
0.272,-0.005,-1.082,0.204,-0.246,0.236,-1.452,-15.468,-43.152,85.231,118.049,131.274,0.014,1.321,0.834,0.334,1,1,3,
0.105,0.100,-1.332,0.069,-0.003,-0.249,-3.408,-17.064,-43.824,85.311,116.976,132.351,0.033,1.984,1.107,0.334,1,1,3,
0.005,-0.088,-1.126,-0.006,0.050,-0.658,8.964,-13.044,-45.972,111.642,122.205,139.155,0.102,0.998,0.740,0.334,1,1,2,
0.144,-0.123,-1.218,-0.259,-0.298,-0.190,15.672,-11.364,-38.484,120.363,135.423,150.912,0.096,0.998,0.738,0.334,1,1,2,
0.247,-0.058,-1.072,-0.007,-0.172,0.256,20.064,-11.028,-32.976,128.690,141.350,156.769,0.014,1.351,0.846,0.334,1,1,3,
0.231,0.072,-1.227,-0.123,-0.139,0.150,12.120,-16.200,-32.568,120.674,141.758,160.962,0.011,0.992,0.701,0.334,1,1,2,
0.189,-0.086,-1.170,0.116,0.267,-0.017,10.488,-11.268,-35.628,109.142,155.572,181.275,0.138,1.009,0.759,0.647,1,1,2,
0.146,-0.147,-1.206,0.054,-0.105,0.495,9.072,-9.528,-37.848,107.817,156.237,184.561,0.085,0.986,0.729,0.647,1,1,2,
0.210,-0.023,-1.168,-0.199,-0.062,0.221,12.624,-16.608,-34.692,120.685,146.266,179.678,0.042,0.810,0.641,0.647,1,1,2,
0.223,-0.079,-1.275,-0.035,-0.081,0.201,6.108,-13.860,-36.924,98.256,152.579,191.849,0.013,0.991,0.701,0.647,1,1,2,
0.168,0.021,-1.284,-0.132,0.247,0.133,0.264,-21.456,-35.148,88.926,145.943,194.488,0.070,1.014,0.734,0.647,1,1,2,
0.128,-0.147,-1.332,-0.595,0.129,0.069,7.176,-12.252,-31.428,97.453,149.534,204.391,0.103,0.981,0.734,0.647,1,1,2,
0.254,0.027,-1.142,0.124,0.044,0.093,14.184,-19.692,-32.460,119.725,146.541,210.525,0.027,0.819,0.638,0.647,1,1,2,
0.233,0.091,-1.266,0.059,0.094,0.284,-0.024,-16.044,-33.540,95.501,139.720,215.999,0.055,0.973,0.711,0.647,1,1,2,
0.306,-0.067,-1.468,0.103,0.020,0.052,17.004,-7.476,-23.844,143.333,136.295,216.066,0.106,0.982,0.735,0.647,1,1,2,
0.320,-0.036,-1.159,0.070,-0.152,0.132,11.196,-16.056,-19.380,115.058,127.689,225.040,0.068,0.816,0.654,0.647,1,1,2,
0.290,-0.044,-1.305,-0.263,0.314,0.272,11.628,-23.472,-30.936,109.011,123.799,231.241,0.036,1.007,0.717,0.647,1,1,2,
0.180,-0.052,-1.212,-0.229,0.120,0.145,3.228,-17.328,-45.660,91.730,123.823,241.111,0.107,0.987,0.738,0.647,1,1,2
0.165,-0.160,-1.137,-0.235,0.480,-0.239,4.596,-14.040,-37.176,89.650,121.237,252.296,0.005,1.931,1.074,0.610,1,1,3,
0.297,-0.131,-1.202,-0.005,0.186,0.228,3.768,-8.928,-30.324,93.375,116.076,249.931,0.021,2.024,1.118,0.610,1,1,3,
0.233,-0.052,-1.283,-0.402,0.176,-0.015,15.636,-9.276,-19.896,143.840,124.410,257.443,0.036,0.990,0.711,0.610,1,1,2,
0.141,-0.108,-1.154,-0.072,0.118,0.058,15.672,-17.424,-23.064,122.887,128.387,264.801,0.078,0.995,0.729,0.323,1,1,2,
0.211,-0.074,-0.997,0.183,0.079,0.002,12.972,-23.244,-23.448,113.167,123.059,268.478,0.015,0.814,0.631,0.323,1,1,2,
0.249,0.107,-1.300,-0.108,0.125,0.108,-3.084,-24.120,-25.620,88.057,109.228,274.047,0.026,0.999,0.710,0.323,1,1,2,
0.191,-0.005,-1.299,-0.270,-0.011,0.151,-11.460,-12.684,-37.392,50.505,94.700,279.444,0.067,1.001,0.727,0.323,1,1,2,
0.208,-0.143,-1.165,-0.180,0.329,-0.028,-5.952,10.404,-34.140,333.434,88.952,286.695,0.093,-0.053,0.316,0.323,1,1,1,
0.080,-0.152,-1.058,0.081,0.354,-0.216,9.720,1.824,-36.072,185.947,90.745,293.080,0.024,-0.013,0.305,0.323,1,1,1,
0.071,-0.035,-1.108,-0.149,0.008,-0.520,4.812,-17.796,-32.112,96.437,83.804,293.302,0.029,1.018,0.719,0.323,1,1,2,
0.229,-0.072,-1.581,-0.208,-0.132,-0.177,3.216,-22.332,-27.744,88.049,80.557,295.434,0.142,0.978,0.748,0.323,1,1,2,
0.088,-0.017,-1.205,-0.057,0.018,-0.353,4.764,-22.128,-15.024,102.364,92.385,307.067,0.072,0.820,0.657,0.323,1,1,2,
0.121,-0.084,-1.306,-0.200,0.465,-0.299,9.408,-18.240,-17.532,114.147,98.805,310.319,0.054,0.990,0.718,0.323,1,1,2,
0.222,0.031,-1.435,0.102,-0.419,-0.455,7.212,-14.052,-31.008,106.103,99.075,312.795,0.048,0.998,0.718,0.323,1,1,2,
0.115,-0.076,-1.186,-0.320,0.463,-0.338,5.772,-18.036,-29.136,95.963,103.475,324.057,0.060,0.796,0.642,0.323,1,1,2,
0.140,0.041,-1.235,0.081,0.085,-0.301,-0.684,-15.708,-29.580,56.790,97.558,328.799,0.028,1.008,0.714,0.323,1,1,2,
0.072,-0.160,-1.251,-0.172,-0.254,-0.315,3.648,-8.400,-34.536,95.694,95.217,333.771,0.113,0.994,0.743,0.323,1,1,2,
0.155,-0.002,-1.055,0.168,0.227,-0.142,6.768,-7.104,-33.504,110.826,84.788,325.714,0.041,1.353,0.858,0.323,1,1,3,
0.216,-0.027,-1.201,-0.124,0.082,0.564,29.868,-10.848,-35.112,145.874,110.454,343.739,0.032,0.991,0.709,0.323,1,1,2
0.173,0.072,-1.404,0.277,-0.153,-0.387,12.144,-17.892,-43.332,132.335,120.653,4.643,0.043,2.004,1.119,0.466,2,1,3,
0.347,0.083,-1.383,-0.275,0.029,0.536,16.260,-16.848,-42.816,126.985,125.701,12.246,0.088,2.000,1.135,0.466,2,1,3,
0.253,-0.038,-1.413,0.134,0.173,-0.020,10.644,-22.320,-44.076,108.362,125.287,20.463,0.132,1.002,0.754,0.466,2,1,2,
0.229,-0.014,-1.404,-0.294,0.472,-0.426,0.132,-24.936,-38.100,88.421,116.137,25.096,0.182,1.004,0.774,0.466,2,1,2,
0.281,-0.013,-1.082,0.120,-0.139,0.466,-7.896,-21.252,-23.892,73.571,94.798,31.034,0.058,0.799,0.643,0.466,2,1,2,
0.309,-0.004,-1.345,0.224,0.041,-0.065,-5.412,-11.196,-4.896,64.247,72.416,39.161,0.021,0.989,0.704,0.466,2,1,2,
0.227,0.079,-1.119,0.162,0.135,0.480,-1.380,-1.524,-8.820,59.444,52.007,26.984,0.118,0.792,0.664,0.466,2,1,2,
0.222,-0.039,-1.064,-0.236,0.098,0.891,-3.564,-7.140,-19.656,60.440,336.021,214.100,0.004,0.333,0.435,0.466,2,1,1,
0.261,0.055,-1.195,-0.195,0.087,1.037,-27.348,43.860,-31.020,305.983,278.744,264.126,0.008,0.450,0.483,0.466,2,1,1,
0.204,-0.078,-1.146,-0.254,0.484,0.569,-3.576,72.708,-49.212,272.336,276.096,259.611,0.045,0.991,0.714,0.466,2,1,2,
0.093,-0.161,-1.224,-0.273,0.244,-0.377,31.140,33.468,-29.784,228.321,255.991,258.324,0.111,1.002,0.745,0.466,2,1,2,
0.293,0.151,-1.176,0.129,0.087,0.376,-7.176,26.268,-20.928,283.105,255.215,261.724,0.027,0.805,0.633,0.466,2,1,2,
0.217,0.146,-1.279,-0.180,0.080,0.027,-4.284,32.964,-26.880,278.975,267.491,255.078,0.131,0.982,0.745,0.466,2,1,2,
